schema_version,case_id,family,baseline_kind,baseline_name,numerical_contract,historical_claim,historical_claim_scope,historical_claim_applicable,m,n,note,status,rank,rank_lo,rank_hi,berr,numerical_valid,validation_reason,router_s,baseline_s,router_mad_s,baseline_mad_s,router_timings_s,baseline_timings_s,ratio_direction,baseline_over_router,historical_ratio_min,historical_ratio_max,performance_observation,baseline_diagnostics
2,tall.8000x32,tall,lapack,DGELSY,router status is UNIQUE,20-80x baseline/router on m >> n,"{""dimensions"": {""m"": 8000, ""n"": 32}, ""driver"": ""gelsy"", ""machine_scope"": ""named-reference-machine"", ""reference_baseline"": ""DGELSY"", ""scale"": 1.0, ""threading"": ""single-thread""}",True,8000,32,,UNIQUE,32,32,32,2.4178847909686775e-15,True,ok,0.00012086192145943642,0.001972205936908722,2.366025000810623e-06,1.4174263924360275e-05,"[0.00012909900397062302, 0.00011873990297317505, 0.00012010498903691769, 0.00012097903527319431, 0.00012322794646024704, 0.00011801719665527344, 0.00012086192145943642, 0.00011398806236684322, 0.00011901417747139931, 0.000437786802649498, 0.000360109843313694]","[0.002184667158871889, 0.0019143989775329828, 0.0019302030559629202, 0.001998871099203825, 0.001977024134248495, 0.0019283238798379898, 0.001986380200833082, 0.001972205936908722, 0.0019719311967492104, 0.0019843389745801687, 0.001969848992303014]",baseline_over_router,16.317843644167382,20.0,80.0,outside-reference-range,
2,tall.7680x64,tall,lapack,DGELSY,router status is UNIQUE,20-80x baseline/router on m >> n,"{""dimensions"": {""m"": 7680, ""n"": 64}, ""driver"": ""gelsy"", ""machine_scope"": ""named-reference-machine"", ""reference_baseline"": ""DGELSY"", ""scale"": 1.0, ""threading"": ""single-thread""}",True,7680,64,,UNIQUE,64,64,64,8.980348845482651e-15,True,ok,0.0002631319221109152,0.00845911493524909,4.1709281504154205e-06,7.657893002033234e-05,"[0.0002719610929489136, 0.00027808500453829765, 0.0002585479523986578, 0.0002673028502613306, 0.0002631319221109152, 0.0002636481076478958, 0.00025357306003570557, 0.00026507582515478134, 0.0002590920776128769, 0.00025953492149710655, 0.00024715904146432877]","[0.008996756048873067, 0.008382536005228758, 0.008706932188943028, 0.008359287865459919, 0.008479884127154946, 0.008671853924170136, 0.008459338219836354, 0.00845911493524909, 0.008305615978315473, 0.008416509022936225, 0.008416546043008566]",baseline_over_router,32.14780961347369,20.0,80.0,inside-reference-range,
2,tall.7680x128,tall,lapack,DGELSY,router status is UNIQUE,20-80x baseline/router on m >> n,"{""dimensions"": {""m"": 7680, ""n"": 128}, ""driver"": ""gelsy"", ""machine_scope"": ""named-reference-machine"", ""reference_baseline"": ""DGELSY"", ""scale"": 1.0, ""threading"": ""single-thread""}",True,7680,128,,UNIQUE,128,128,128,6.47067064042874e-15,True,ok,0.0006962870247662067,0.03350515989586711,1.99910718947649e-05,0.0003142331261187792,"[0.0007418899331241846, 0.0007162780966609716, 0.0007067539263516665, 0.0007017180323600769, 0.0006981980986893177, 0.0006584830116480589, 0.0006712439935654402, 0.0006498729344457388, 0.0006602511275559664, 0.0006962870247662067, 0.0006772750057280064]","[0.034536516992375255, 0.03350515989586711, 0.03338346816599369, 0.03381939302198589, 0.033298935974016786, 0.03337224293500185, 0.033353625098243356, 0.03516375506296754, 0.036907349014654756, 0.03418470895849168, 0.03302237996831536]",baseline_over_router,48.11975335475651,20.0,80.0,inside-reference-range,
2,grouped_vs_lapack.16384x64,grouped_vs_lapack,lapack,DGELSY,router status is UNIQUE,12-25x DGELSY/router observation,"{""dimensions"": {""m"": 16384, ""n"": 64}, ""driver"": ""gelsy"", ""machine_scope"": ""named-reference-machine"", ""reference_baseline"": ""DGELSY"", ""scale"": 1.0, ""threading"": ""single-thread""}",True,16384,64,64 groups of 256 identical rows,UNIQUE,64,64,64,2.2948240353005755e-15,True,ok,0.0015907168854027987,0.02016562409698963,4.248390905559063e-05,0.0014132249634712934,"[0.001680430956184864, 0.001706128939986229, 0.0016735580284148455, 0.001647287979722023, 0.0015907168854027987, 0.0015944289043545723, 0.0015824451111257076, 0.0015723500400781631, 0.001548232976347208, 0.0015671111177653074, 0.0015448839403688908]","[0.02016562409698963, 0.018062887946143746, 0.018401133129373193, 0.017706683138385415, 0.030685439007356763, 0.02020795992575586, 0.020872279070317745, 0.018752399133518338, 0.022691704099997878, 0.0208911900408566, 0.01977147301658988]",baseline_over_router,12.677066725096921,12.0,25.0,inside-reference-range,
2,grouped_vs_lsmr.16384x64,grouped_vs_lsmr,lsmr,LSMR,router status is UNIQUE and LSMR has a compatible-system exit and residual,0.169-0.385x LSMR/router observation,"{""dimensions"": {""m"": 16384, ""n"": 64}, ""driver"": ""gelsy"", ""machine_scope"": ""named-reference-machine"", ""reference_baseline"": ""LSMR"", ""scale"": 1.0, ""threading"": ""single-thread""}",True,16384,64,64 groups of 256 identical rows,UNIQUE,64,64,64,2.6585623679703022e-15,True,ok,0.001566707156598568,0.000977163203060627,1.4078104868531227e-05,3.987923264503479e-05,"[0.001501964870840311, 0.0015526290517300367, 0.001547010149806738, 0.0015581650659441948, 0.001544881146401167, 0.001568585867062211, 0.0015680170617997646, 0.00164527609013021, 0.001566707156598568, 0.0016429328825324774, 0.0015740571543574333]","[0.0010896509047597647, 0.0009917779825627804, 0.0009235620964318514, 0.0009372839704155922, 0.000977163203060627, 0.0009714770130813122, 0.000943837920203805, 0.0009506801143288612, 0.0011533580254763365, 0.0011441470123827457, 0.0015470250509679317]",baseline_over_router,0.6237050740114811,0.1694915254237288,0.3846153846153846,outside-reference-range,"{""istop"": 1, ""iterations"": 1, ""reason"": ""ok"", ""relative_residual"": 1.46218910388948e-14, ""reported_conda"": 1.0, ""reported_norma"": 15.999999999999968, ""reported_normar"": 2.505349608483451e-11, ""reported_normr"": 1.565843505302165e-12, ""reported_normx"": 6.742210159239105, ""valid"": true}"
2,grouped_vs_lapack.131072x64,grouped_vs_lapack,lapack,DGELSY,router status is UNIQUE,12-25x DGELSY/router observation,"{""dimensions"": {""m"": 131072, ""n"": 64}, ""driver"": ""gelsy"", ""machine_scope"": ""named-reference-machine"", ""reference_baseline"": ""DGELSY"", ""scale"": 1.0, ""threading"": ""single-thread""}",True,131072,64,64 groups of 2048 identical rows,UNIQUE,64,64,64,7.674946595936686e-15,True,ok,0.011406671022996306,0.24824166600592434,0.00023437407799065113,0.0024665589444339275,"[0.013518828200176358, 0.011218944797292352, 0.01132778194732964, 0.011166485026478767, 0.011230056174099445, 0.01169980806298554, 0.011406671022996306, 0.011641045100986958, 0.01139185018837452, 0.011765300994738936, 0.014973419951274991]","[0.2463693639729172, 0.2464594200719148, 0.25174695486202836, 0.24642158509232104, 0.2468362080398947, 0.25070822495035827, 0.24387828609906137, 0.24824166600592434, 0.25347446906380355, 0.26172160310670733, 0.26139278896152973]",baseline_over_router,21.76284960839663,12.0,25.0,inside-reference-range,
2,grouped_vs_lsmr.131072x64,grouped_vs_lsmr,lsmr,LSMR,router status is UNIQUE and LSMR has a compatible-system exit and residual,0.169-0.385x LSMR/router observation,"{""dimensions"": {""m"": 131072, ""n"": 64}, ""driver"": ""gelsy"", ""machine_scope"": ""named-reference-machine"", ""reference_baseline"": ""LSMR"", ""scale"": 1.0, ""threading"": ""single-thread""}",True,131072,64,64 groups of 2048 identical rows,UNIQUE,64,64,64,4.460528102914054e-15,True,ok,0.011905284831300378,0.019088134868070483,0.00023525720462203026,0.0014609687495976686,"[0.011905284831300378, 0.012140542035922408, 0.011752414051443338, 0.01126286294311285, 0.011637364979833364, 0.01177727896720171, 0.011970377992838621, 0.012031957041472197, 0.011546329129487276, 0.013938724994659424, 0.020128758857026696]","[0.017874321900308132, 0.019088134868070483, 0.017610745038837194, 0.02186749503016472, 0.017627166118472815, 0.020754599943757057, 0.026137308916077018, 0.02050045784562826, 0.021319975145161152, 0.01822399511002004, 0.019000799860805273]",baseline_over_router,1.6033329011907012,0.1694915254237288,0.3846153846153846,outside-reference-range,"{""istop"": 1, ""iterations"": 1, ""reason"": ""ok"", ""relative_residual"": 1.177379204365889e-13, ""reported_conda"": 1.0, ""reported_norma"": 45.254833995939194, ""reported_normar"": 2.1608492790438563e-09, ""reported_normr"": 4.774847432293818e-11, ""reported_normx"": 8.960747006862341, ""valid"": true}"
2,grouped_vs_lapack.16384x256,grouped_vs_lapack,lapack,DGELSY,router status is UNIQUE,12-25x DGELSY/router observation,"{""dimensions"": {""m"": 16384, ""n"": 256}, ""driver"": ""gelsy"", ""machine_scope"": ""named-reference-machine"", ""reference_baseline"": ""DGELSY"", ""scale"": 1.0, ""threading"": ""single-thread""}",True,16384,256,256 groups of 64 identical rows,UNIQUE,256,256,256,3.913725969657139e-16,True,ok,0.012992455856874585,0.22323802392929792,0.00023933686316013336,0.003530070884153247,"[0.013145301956683397, 0.012936929939314723, 0.01346067595295608, 0.014026505872607231, 0.014477933989837766, 0.012444775085896254, 0.012753118993714452, 0.012929080985486507, 0.012992455856874585, 0.013886172091588378, 0.012766138184815645]","[0.22323802392929792, 0.2266042958945036, 0.22804530686698854, 0.21970795304514468, 0.22611123486422002, 0.2359057581052184, 0.22587415389716625, 0.2112735689152032, 0.2214634579140693, 0.21896571898832917, 0.21911775995977223]",baseline_over_router,17.182126796388378,12.0,25.0,inside-reference-range,
2,grouped_vs_lsmr.16384x256,grouped_vs_lsmr,lsmr,LSMR,router status is UNIQUE and LSMR has a compatible-system exit and residual,0.169-0.385x LSMR/router observation,"{""dimensions"": {""m"": 16384, ""n"": 256}, ""driver"": ""gelsy"", ""machine_scope"": ""named-reference-machine"", ""reference_baseline"": ""LSMR"", ""scale"": 1.0, ""threading"": ""single-thread""}",True,16384,256,256 groups of 64 identical rows,UNIQUE,256,256,256,4.445919545495816e-16,True,ok,0.013353953836485744,0.008499177871271968,0.00014197826385498047,8.332193829119205e-05,"[0.013353953836485744, 0.013264006935060024, 0.01331092999316752, 0.013233853969722986, 0.014583277981728315, 0.013505562907084823, 0.013650860171765089, 0.01325856102630496, 0.013515745056793094, 0.013495932100340724, 0.013155153021216393]","[0.008574798004701734, 0.008634863886982203, 0.008678491925820708, 0.008188758045434952, 0.008555094012990594, 0.00833946792408824, 0.008472801186144352, 0.008302282076328993, 0.008499177871271968, 0.008415855932980776, 0.008550327969715]",baseline_over_router,0.6364540401547943,0.1694915254237288,0.3846153846153846,outside-reference-range,"{""istop"": 1, ""iterations"": 1, ""reason"": ""ok"", ""relative_residual"": 8.689705227215412e-15, ""reported_conda"": 1.0, ""reported_norma"": 8.000000000000007, ""reported_normar"": 8.492445388848588e-12, ""reported_normr"": 1.0615556736060715e-12, ""reported_normx"": 15.256766755979449, ""valid"": true}"
2,square.256x256,square,lu,DGESV,router status is UNIQUE,0.6-0.9x DGESV/router on square systems,"{""dimensions"": {""m"": 256, ""n"": 256}, ""driver"": ""gelsy"", ""machine_scope"": ""named-reference-machine"", ""reference_baseline"": ""DGESV"", ""scale"": 1.0, ""threading"": ""single-thread""}",True,256,256,,UNIQUE,256,256,256,1.1315382440301144e-16,True,ok,0.000720408046618104,0.0007079860661178827,2.8670765459537506e-06,9.17096622288227e-06,"[0.0007353420369327068, 0.0007343338802456856, 0.0007328828796744347, 0.000720408046618104, 0.000719814095646143, 0.0007232751231640577, 0.0007184389978647232, 0.0007180690299719572, 0.0007229340262711048, 0.0007152671460062265, 0.00070374202914536]","[0.000737102935090661, 0.0007079860661178827, 0.0007256839890033007, 0.0007222411222755909, 0.0006981601472944021, 0.0007022588979452848, 0.0007080140057951212, 0.0007047588005661964, 0.0006988150998950005, 0.0007199691608548164, 0.0007053900044411421]",baseline_over_router,0.9827570214428681,0.6,0.9,outside-reference-range,
